ЕдиницаИзмерения;ЕдиницаИзмеренияМест;Качество;Количество;КоличествоМест;КоличествоУчет;Коэффициент;Номенклатура;Сумма;СуммаУчет;ХарактеристикаНоменклатуры;Цена;ЦенаВРознице;ЦенаРегл;СуммаРегл;СерияНоменклатуры
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f5c};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",2};{"N",0};{"N",2};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f5b};{"N",73.5};{"N",73.5};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",36.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f5a};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",4};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f59};{"N",183.75};{"N",147};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",36.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f5e};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f5d};{"N",183.75};{"N",183.75};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",36.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f60};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f5f};{"N",183.75};{"N",183.75};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",36.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f62};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",4};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f61};{"N",168};{"N",210};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",42};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f64};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",1};{"N",0};{"N",1};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f63};{"N",219.55};{"N",219.55};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",219.55};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f94};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",0};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f93};{"N",0};{"N",139.1};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",27.82};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f96};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",2};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f95};{"N",55.64};{"N",83.46};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",27.82};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f98};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",1};{"N",0};{"N",1};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f97};{"N",55.64};{"N",55.64};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",55.64};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f9a};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f99};{"N",232.35};{"N",232.35};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",46.47};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f9c};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",3};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f9b};{"N",139.41};{"N",139.41};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",46.47};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756f9e};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",6};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f9d};{"N",232.35};{"N",278.82};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",46.47};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756fa0};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",3};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756f9f};{"N",83.46};{"N",83.46};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",27.82};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a05430756fa2};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",2};{"N",0};{"N",2};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a05430756fa1};{"N",55.64};{"N",55.64};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",27.82};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8a054366da2a5};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",1};{"N",0};{"N",2};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8a054366da2a4};{"N",21.05};{"N",42.1};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",21.05};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8097009c029a0d5911e8e25bad053b82};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",1};{"N",0};{"N",1};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8097009c029a0d5911e8e25bad053b81};{"N",21.51};{"N",21.51};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",21.51};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8127d43d7e95a4a111e46bfcbe8fe92e};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",4};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8127d43d7e95a4a111e46bfcbe8fe92c};{"N",140};{"N",175};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",35};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8127d43d7e95a4a111e46bfcf7cb1ed8};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",3};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8127d43d7e95a4a111e46bfcf7cb1ed6};{"N",105};{"N",105};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",35};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8127d43d7e95a4a111e46c1872e4aa89};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",2};{"N",0};{"N",2};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8127d43d7e95a4a111e46c1872e4aa87};{"N",37.8};{"N",37.8};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",18.9};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8180f46d0403d14511e135fb261a763e};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",2};{"N",0};{"N",2};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8180f46d0403d14511e135fb261a763d};{"N",37.8};{"N",37.8};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",18.9};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8508009c029a0d5911e6969c07567092};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8508009c029a0d5911e6969c07567090};{"N",188.05};{"N",112.83};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",37.61};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:89bd009c029a0d5911e5d15cf78249f4};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:89bd009c029a0d5911e5d15cf78249f2};{"N",232.5};{"N",232.5};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",46.5};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce3299};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",3};{"N",0};{"N",2};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce3298};{"N",146.49};{"N",97.66};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",48.83};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce329b};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce329a};{"N",244.15};{"N",244.15};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",48.83};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce329d};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce329c};{"N",244.15};{"N",244.15};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",48.83};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce329f};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",4};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce329e};{"N",341.25};{"N",273};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",68.25};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce32a1};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",2};{"N",0};{"N",1};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce32a0};{"N",136.5};{"N",68.25};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",68.25};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce32a3};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",3};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce32a2};{"N",341.25};{"N",204.75};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",68.25};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce32a5};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",1};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce32a4};{"N",68.25};{"N",341.25};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",68.25};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce32a7};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",4};{"N",0};{"N",4};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce32a6};{"N",315};{"N",315};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",78.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce32a9};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",4};{"N",0};{"N",4};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce32a8};{"N",315};{"N",315};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",78.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:8cc1801f02259a1811e23edf91ce32ab};{"#",90934666-83d0-4ca4-8538-3049224a0ae1,64:00000000000000000000000000000000};{"#",e9ae4cc7-0f1d-47c7-ad80-d1afc972ee5d,72:a79841ebe5e5b977449b6bced05404a0};{"N",5};{"N",0};{"N",5};{"N",1};{"#",44a01d39-c2b6-4751-85e6-06fdc2f23043,98:8cc1801f02259a1811e23edf91ce32aa};{"N",393.75};{"N",393.75};{"#",de681bef-7b2a-42e5-a126-f4a04369411f,170:00000000000000000000000000000000};{"N",78.75};{"N",0};{"N",0};{"N",0};{"#",5e26518e-b532-48a7-a61c-5be94217aec2,130:00000000000000000000000000000000}
